date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:10:25	37632/37632	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Oct%202020%2015:31:32%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:25	166559/166559	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Jul%202021%2008:37:03%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/t/31/assets/theme.css?v=15618142345316856782	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/t/31/assets/theme3636.css	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:26	119262/119262	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Jun%202021%2013:19:22%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/t/31/assets/currency-flags.css	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/t/31/assets/currency-flags.css	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:30	8709/8709	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Aug%202021%2014:18:42%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/files/pantalon_brand_logo_official_site_300x.png?v=1616667788	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/files/pantalon_brand_logo_official_site_300x0e6b.png	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:31	201229/201229	---MCZ	200	added ('OK')	text/html	etag:cacheable:d0ee8ee78ccd7dd743fc5f4e998702e0	https://pantalonbrand.com/collections/abbigliamento	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/abbigliamento.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:34	113382/113382	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2016%20Jun%202021%2013:19:24%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/t/31/assets/theme.min.js?v=17702975114117803423	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/t/31/assets/theme.min88e7.js	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:34	111417/111417	---MCZ	200	added ('OK')	text/html	etag:cacheable:27f3b0fdb9518dc6329dfb6ad86d810a	https://pantalonbrand.com/collections/crop-tees	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/crop-tees.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:35	218486/218486	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2016%20Jun%202021%2013:19:23%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/t/31/assets/vendor-v3.js	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/t/31/assets/vendor-v3.js	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:35	140289/140289	---MCZ	200	added ('OK')	text/html	etag:cacheable:2258108413f2bd321cc23687d6427692	https://pantalonbrand.com/collections/felpe-maglieria	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/felpe-maglieria.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:35	156101/156101	---MCZ	200	added ('OK')	text/html	etag:cacheable:8a1beebfc578d21ceab954f3576762fd	https://pantalonbrand.com/collections/pantaloncini	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/pantaloncini.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:36	141566/141566	---MCZ	200	added ('OK')	text/html	etag:cacheable:f78ccb74fc51b859ed624a7631636771	https://pantalonbrand.com/collections/t-shirts	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/t-shirts.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:36	208370/208370	---MCZ	200	added ('OK')	text/html	etag:cacheable:c47ef60d73bdc27ea22b1191dbd0a115	https://pantalonbrand.com/collections/accessori	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/accessori.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:36	111442/111442	---MCZ	200	added ('OK')	text/html	etag:cacheable:2d96b283416d21bb983199f11242655a	https://pantalonbrand.com/collections/airpods-cases	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/airpods-cases.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:37	107551/107551	---MCZ	200	added ('OK')	text/html	etag:cacheable:60cbb0baba234aadf20f0a02544e24a0	https://pantalonbrand.com/collections/beanies-invernali	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/beanies-invernali.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:37	97473/97473	---MCZ	200	added ('OK')	text/html	etag:cacheable:57d8832531a080a82b250f04a4079d6d	https://pantalonbrand.com/collections/baseball-caps	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/baseball-caps.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:38	92273/92273	---MCZ	200	added ('OK')	text/html	etag:cacheable:2ddefa85cf0b4852ffde97c694af73fb	https://pantalonbrand.com/collections/bucket-hats	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/bucket-hats.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:38	115717/115717	---MCZ	200	added ('OK')	text/html	etag:cacheable:3f75357338b377cc5176a71f35bcc47a	https://pantalonbrand.com/collections/intimo-calze	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/intimo-calze.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:38	91808/91808	---MCZ	200	added ('OK')	text/html	etag:cacheable:9688b6321bc7bec1da155b6ec673b005	https://pantalonbrand.com/collections/clipper	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/clipper.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:39	96733/96733	---MCZ	200	added ('OK')	text/html	etag:cacheable:c48ff24987639de7f40a46203ee44ba3	https://pantalonbrand.com/collections/gioielli	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/gioielli.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:39	99237/99237	---MCZ	200	added ('OK')	text/html	etag:cacheable:1eac422607d4bb3d2cf7cfa9ff77fc3b	https://pantalonbrand.com/collections/iphone-cases	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/iphone-cases.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:40	104321/104321	---MCZ	200	added ('OK')	text/html	etag:cacheable:2079cbc35318e4abe23525d367943d1e	https://pantalonbrand.com/collections/mascherine	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/mascherine.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:41	98162/98162	---MCZ	200	added ('OK')	text/html	etag:cacheable:5fd0271268f62564459d93242bf8047e	https://pantalonbrand.com/collections/portachiavi-catene	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/portachiavi-catene.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:41	127/127	---MC-	302	error ('Found')	text/html	date:Thu,%2012%20Aug%202021%2016:10:40%20GMT	https://pantalonbrand.com/account	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/account	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:41	86887/86887	---MCZ	200	added ('OK')	text/html	etag:cacheable:260342400ffbe109abba258dc2b4ef22	https://pantalonbrand.com/account/login?return_url=%2Faccount	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/account/login4236.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:42	85590/85590	---MCZ	200	added ('OK')	text/html	etag:cacheable:0e633a2e1b77609e033196376f22c237	https://pantalonbrand.com/search	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/search.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:44	3804/3804	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Jul%202021%2011:59:31%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/files/BRAND_NAME_BLACK_200x.png?v=1599226622	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/files/BRAND_NAME_BLACK_200x7441.png	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:44	88937/88937	---MCZ	200	added ('OK')	text/html	etag:cacheable:90026c600fdbd2955cc62ae23fba16d8	https://pantalonbrand.com/pages/spedizioni	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/pages/spedizioni.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:44	3844/3844	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Jul%202021%2011:59:31%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/files/BRAND_NAME_200x.png?v=1607103390	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/files/BRAND_NAME_200x67f2.png	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:45	91355/91355	---MCZ	200	added ('OK')	text/html	etag:cacheable:869a203841e6cdd0206a9e0d766b19ec	https://pantalonbrand.com/cart	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/cart.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:48	235851/235851	---MCZ	200	added ('OK')	text/html	etag:cacheable:3ad7316b8e6823327cbe3e7dbbdfc04d	https://pantalonbrand.com/collections/saldi	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/collections/saldi.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:51	146279/146279	---MCZ	200	added ('OK')	text/html	etag:cacheable:18642739f101af064eaac45e54a2ebba	https://pantalonbrand.com/products/grey-dispersal-white-t-shirt	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/products/grey-dispersal-white-t-shirt.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:51	2770/2770	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Aug%202021%2016:10:51%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/products/pantalonbrandgreytee01_{width}x.jpg?v=1617443669	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/products/pantalonbrandgreytee01_{width}x.29e3f9.delayed	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:54	15847/15847	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Jul%202021%2012:01:32%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/products/pantalonbrandgreytee01_400x.jpg?v=1617443669	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/products/pantalonbrandgreytee01_400xe3f9.jpg	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:59	143475/143475	---MCZ	200	added ('OK')	text/html	etag:cacheable:11bef15f62918a98140e8c3d168cd27c	https://pantalonbrand.com/products/purple-dispersal-black-t-shirt	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/products/purple-dispersal-black-t-shirt.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:10:59	2770/2770	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Aug%202021%2016:10:59%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/products/pantalonbrandpurpletee02_{width}x.jpg?v=1617444048	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/products/pantalonbrandpurpletee02_{width}x.2cff41.delayed	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:11:03	18496/18496	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Aug%202021%2016:11:00%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/products/pantalonbrandpurpletee02_400x.jpg?v=1617444048	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/products/pantalonbrandpurpletee02_400xff41.jpg	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:11:09	147504/147504	---MCZ	200	added ('OK')	text/html	etag:cacheable:a4c7108c08e1fe5876e285492581ccbd	https://pantalonbrand.com/products/turquoise-dispersal-beige-t-shirt	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/products/turquoise-dispersal-beige-t-shirt.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:11:09	2770/2770	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Aug%202021%2016:11:09%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/products/pantalonbrandbeigetee05_{width}x.jpg?v=1617443186	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/products/pantalonbrandbeigetee05_{width}x.2f3c86.delayed	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:11:12	18149/18149	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Jul%202021%2012:01:31%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/products/pantalonbrandbeigetee05_400x.jpg?v=1617443186	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/products/pantalonbrandbeigetee05_400x3c86.jpg	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:11:18	144241/144241	---MCZ	200	added ('OK')	text/html	etag:cacheable:0faae5600a506135f4ef89c6a1bb3cab	https://pantalonbrand.com/products/white-dispersal-black-t-shirt	C:/Mie%20pagine%20Web/pantalon/pantalonbrand.com/products/white-dispersal-black-t-shirt.html	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:11:18	2770/2770	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Aug%202021%2016:11:18%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/products/white-dispersal-black-t-shirt-263295_{width}x.jpg?v=1616066812	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/products/white-dispersal-black-t-shirt-263295_{width}x.328795.delayed	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:11:20	218171/218171	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Aug%202021%2013:12:16%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/files/copertina_homepage_summer_1400x.jpg?v=1622470470	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/files/copertina_homepage_summer_1400x66b6.jpg	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
18:11:20	11206/11206	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Jul%202021%2012:11:39%20GMT	http://cdn.shopify.com/s/files/1/0275/8780/5236/products/white-dispersal-black-t-shirt-263295_400x.jpg?v=1616066812	C:/Mie%20pagine%20Web/pantalon/cdn.shopify.com/s/files/1/0275/8780/5236/products/white-dispersal-black-t-shirt-263295_400x8795.jpg	(from https://pantalonbrand.com/?gclid=CjwKCAjwjdOIBhA_EiwAHz8xm8vcMqsG7s00v-KJohj3eDfXn_R2ZIY7R3NyH60mIQGphg64TPeRahoCjHwQAvD_BwE)
